pclass,survived,age,sibsp,parch,fare,family_size,sex_female,sex_male,embarked_C,embarked_Q,embarked_S
1,1,0.36116883556110047,0.0,0.0,0.41250332793836464,1,1,0,0,0,1
1,1,0.009394575947630879,0.125,0.2222222222222222,0.29580589980036276,4,0,1,0,0,1
1,0,0.02296410144638894,0.125,0.2222222222222222,0.29580589980036276,4,1,0,0,0,1
1,0,0.3736949368246083,0.125,0.2222222222222222,0.29580589980036276,4,0,1,0,0,1
1,0,0.3110644305070691,0.125,0.2222222222222222,0.29580589980036276,4,1,0,0,0,1
1,1,0.5991647595677494,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,1,0.7870562785203667,0.125,0.0,0.15216446768991498,2,1,0,0,0,1
1,0,0.48642984819617885,0.0,0.0,0.0,1,0,1,0,0,1
1,1,0.6617952658852885,0.24999999999999997,0.0,0.10048070654571319,3,1,0,0,0,1
1,0,0.8872650886284295,0.0,0.0,0.09662576327876685,1,0,1,1,0,0
1,0,0.5866386583042416,0.125,0.0,0.4440992237022602,2,0,1,1,0,0
1,1,0.2233817216625143,0.125,0.0,0.4440992237022602,2,1,0,1,0,0
1,1,0.2985383292435613,0.0,0.0,0.13526459159462315,1,1,0,1,0,0
1,1,0.32359053177057695,0.0,0.0,0.15390495017656614,1,1,0,0,0,1
1,1,1.0,0.0,0.0,0.05855610025741262,1,0,1,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.0506022299724474,1,0,1,0,0,1
1,0,0.2985383292435613,0.0,0.11111111111111109,0.4831284260198326,2,0,1,1,0,0
1,1,0.6242169620947651,0.0,0.11111111111111109,0.4831284260198326,2,1,0,1,0,0
1,1,0.398747139351624,0.0,0.0,0.1489114811336149,1,1,0,1,0,0
1,0,0.44885154440565533,0.0,0.0,0.14686201762460543,1,0,1,1,0,0
1,1,0.46137764566916317,0.125,0.11111111111111109,0.10257896680493714,3,0,1,0,0,1
1,1,0.5866386583042416,0.125,0.11111111111111109,0.10257896680493714,3,1,0,0,0,1
1,1,0.32359053177057695,0.0,0.0,0.05855610025741262,1,0,1,1,0,0
1,1,0.5240081519867024,0.0,0.0,0.4440992237022602,1,1,0,1,0,0
1,1,0.36116883556110047,0.0,0.0,0.4328841690069588,1,1,0,0,0,1
1,0,0.3110644305070691,0.0,0.0,0.05074862022309093,1,0,1,1,0,0
1,1,0.3110644305070691,0.125,0.0,0.17777475888549785,2,0,1,1,0,0
1,1,0.23590782292602214,0.125,0.0,0.17777475888549785,2,1,0,1,0,0
1,1,0.4363254431421475,0.0,0.0,0.2647385704347907,1,1,0,0,0,1
1,1,0.3486427342975926,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,0,0.5615864557772259,0.0,0.0,0.06929138530460494,1,0,1,0,0,1
1,1,0.4989559494596867,0.0,0.0,0.060507970265993034,1,0,1,1,0,0
1,1,0.3736949368246083,0.0,0.0,0.32179836714362564,1,1,0,0,0,1
1,1,0.7244257722028277,0.0,0.0,0.05182214872781017,1,1,0,0,0,1
1,0,0.5240081519867024,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,1,0.5615864557772259,0.0,0.0,0.5121218935012879,1,1,0,1,0,0
1,1,0.27348612671654565,0.0,0.11111111111111109,0.10735285047192314,2,1,0,0,0,1
1,1,0.3486427342975926,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,0,0.5114820507231945,0.0,0.0,0.05953203526170282,1,0,1,0,0,1
1,0,0.5991647595677494,0.0,0.0,0.09856123757927521,1,0,1,1,0,0
1,0,0.3486427342975926,0.0,0.0,0.07729405233978466,1,0,1,1,0,0
1,1,0.549060354513718,0.0,0.0,0.05410739813385612,1,1,0,1,0,0
1,1,0.7369518734663355,0.24999999999999997,0.0,0.10048070654571319,3,1,0,0,0,1
1,1,0.7494779747298433,0.0,0.0,0.1489114811336149,1,1,0,1,0,0
1,1,0.5114820507231945,0.0,0.0,0.2625265161540666,1,1,0,1,0,0
1,0,0.5615864557772259,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.060507970265993034,1,0,1,0,0,1
1,1,0.5240081519867024,0.0,0.0,0.05130978285055781,1,0,1,0,0,1
1,1,0.6617952658852885,0.0,0.0,0.0535706338814965,1,1,0,1,0,0
1,1,0.44885154440565533,0.0,0.11111111111111109,1.0,2,0,1,1,0,0
1,1,0.7244257722028277,0.0,0.11111111111111109,1.0,2,1,0,1,0,0
1,0,0.4112732406151318,0.0,0.0,0.009759350042902105,1,0,1,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.09193307740413781,1,0,1,0,0,1
1,0,0.21085562039900646,0.0,0.0,0.09193307740413781,1,0,1,0,0,1
1,1,0.13569901281795946,0.125,0.2222222222222222,0.23422440102965048,4,0,1,0,0,1
1,1,0.17327731660848295,0.125,0.2222222222222222,0.23422440102965048,4,1,0,0,0,1
1,1,0.44885154440565533,0.125,0.2222222222222222,0.23422440102965048,4,0,1,0,0,1
1,1,0.44885154440565533,0.125,0.2222222222222222,0.23422440102965048,4,1,0,0,0,1
1,0,0.6116908608312571,0.0,0.0,0.05074862022309093,1,0,1,0,0,1
1,1,0.3486427342975926,0.0,0.0,0.05410739813385612,1,1,0,1,0,0
1,0,0.44885154440565533,0.125,0.0,0.15390495017656614,2,0,1,0,0,1
1,1,0.9498955949459686,0.125,0.0,0.15390495017656614,2,1,0,0,0,1
1,0,0.5741125570407337,0.125,0.0,0.11940564777490723,2,0,1,0,0,1
1,1,0.5866386583042416,0.125,0.0,0.11940564777490723,2,1,0,0,0,1
1,1,0.3361166330340848,0.125,0.0,0.10364429745562034,2,0,1,0,0,1
1,1,0.4112732406151318,0.125,0.0,0.10364429745562034,2,1,0,0,0,1
1,1,0.44885154440565533,0.0,0.0,0.5121218935012879,1,1,0,1,0,0
1,1,0.3736949368246083,0.0,0.0,0.16883675574220638,1,1,0,0,0,1
1,1,0.5615864557772259,0.0,0.0,0.057970539254838485,1,0,1,1,0,0
1,1,0.3486427342975926,0.0,0.11111111111111109,0.10735285047192314,2,1,0,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.0,1,0,1,0,0,1
1,0,0.3361166330340848,0.125,0.0,0.26697521827762305,2,0,1,1,0,0
1,1,0.32359053177057695,0.125,0.0,0.26697521827762305,2,1,0,1,0,0
1,1,0.27348612671654565,0.0,0.0,0.29580589980036276,1,1,0,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.10149724044618187,1,0,1,0,0,1
1,0,0.5866386583042416,0.0,0.0,0.04994347384455151,1,0,1,0,0,1
1,1,0.48642984819617885,0.125,0.11111111111111109,0.16231419173453318,3,1,0,1,0,0
1,0,0.46137764566916317,0.125,0.11111111111111109,0.16231419173453318,3,0,1,1,0,0
1,1,0.7995823797838746,0.0,0.2222222222222222,0.16231419173453318,3,1,0,1,0,0
1,1,0.6868474684123042,0.24999999999999997,0.0,0.05016305922051681,3,1,0,0,0,1
1,0,0.3486427342975926,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,0,0.8747389873649216,0.125,0.11111111111111109,0.13858277060920987,3,0,1,0,0,1
1,1,0.44885154440565533,0.0,0.2222222222222222,0.13858277060920987,3,1,0,0,0,1
1,1,0.7995823797838746,0.125,0.11111111111111109,0.05182214872781017,3,1,0,0,0,1
1,0,0.48642984819617885,0.125,0.0,0.13913573538264068,2,0,1,1,0,0
1,1,0.473903746932671,0.125,0.0,0.13913573538264068,2,1,0,1,0,0
1,1,0.6367430633582729,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,1,0.3361166330340848,0.0,0.0,0.05953203526170282,1,0,1,0,0,1
1,1,0.4112732406151318,0.0,0.0,0.29580589980036276,1,1,0,0,0,1
1,0,0.38622103808811614,0.125,0.0,0.10149724044618187,2,0,1,0,0,1
1,1,0.3361166330340848,0.125,0.2222222222222222,0.10149724044618187,4,1,0,0,0,1
1,1,0.38622103808811614,0.125,0.0,0.11125659048908397,2,0,1,0,0,1
1,1,0.21085562039900646,0.125,0.0,0.11125659048908397,2,1,0,0,0,1
1,1,0.6617952658852885,0.125,0.11111111111111109,0.15977676072337865,3,0,1,0,0,1
1,1,0.04801630397340462,0.0,0.2222222222222222,0.15977676072337865,3,0,1,0,0,1
1,1,0.6743213671487964,0.125,0.11111111111111109,0.15977676072337865,3,1,0,0,0,1
1,0,0.6242169620947651,0.125,0.0,0.2077277656631713,2,0,1,1,0,0
1,1,0.3361166330340848,0.125,0.11111111111111109,0.4831284260198326,3,1,0,1,0,0
1,1,0.5991647595677494,0.125,0.0,0.2077277656631713,2,1,0,1,0,0
1,1,0.5991647595677494,0.125,0.0,0.07729405233978466,2,1,0,1,0,0
1,1,0.6116908608312571,0.125,0.0,0.11111839809247648,2,0,1,1,0,0
1,0,0.48642984819617885,0.0,0.0,0.057970539254838485,1,0,1,1,0,0
1,1,0.28601222798005344,0.0,0.11111111111111109,0.16231419173453318,2,1,0,1,0,0
1,1,0.473903746932671,0.0,0.0,0.4440992237022602,1,1,0,1,0,0
1,1,0.6743213671487964,0.125,0.0,0.1527664244005612,2,1,0,1,0,0
1,0,0.44885154440565533,0.0,0.0,0.06183368037582086,1,1,0,1,0,0
1,0,0.3486427342975926,0.0,0.0,0.4328841690069588,1,0,1,0,0,1
1,1,0.3486427342975926,0.0,0.0,0.06184168304285603,1,1,0,0,0,1
1,1,0.3486427342975926,0.0,0.0,0.21642978772242538,1,1,0,1,0,0
1,1,0.44885154440565533,0.0,0.0,0.051504969851415845,1,0,1,0,0,1
1,0,0.3736949368246083,0.0,0.0,0.05416439273810667,1,0,1,1,0,0
1,1,0.2985383292435613,0.375,0.2222222222222222,0.5133418122566507,6,1,0,0,0,1
1,1,0.3486427342975926,0.375,0.2222222222222222,0.5133418122566507,6,1,0,0,0,1
1,1,0.28601222798005344,0.375,0.2222222222222222,0.5133418122566507,6,1,0,0,0,1
1,0,0.23590782292602214,0.375,0.2222222222222222,0.5133418122566507,6,0,1,0,0,1
1,0,0.7995823797838746,0.125,0.4444444444444444,0.5133418122566507,6,0,1,0,0,1
1,1,0.7494779747298433,0.125,0.4444444444444444,0.5133418122566507,6,1,0,0,0,1
1,1,0.3736949368246083,0.0,0.0,0.11111839809247648,1,1,0,1,0,0
1,0,0.3486427342975926,0.0,0.0,0.05182214872781017,1,0,1,0,0,1
1,1,0.6242169620947651,0.24999999999999997,0.0,0.2608674266467732,3,0,1,0,0,1
1,1,0.5365342532502102,0.125,0.0,0.05410739813385612,2,0,1,1,0,0
1,1,0.3486427342975926,0.125,0.0,0.2608674266467732,2,1,0,0,0,1
1,1,0.27348612671654565,0.0,0.2222222222222222,0.09661756542473082,3,1,0,1,0,0
1,1,0.7494779747298433,0.125,0.11111111111111109,0.15458810467956932,3,0,1,1,0,0
1,1,0.5991647595677494,0.125,0.11111111111111109,0.15458810467956932,3,1,0,1,0,0
1,0,0.3486427342975926,0.0,0.0,0.0,1,0,1,0,0,1
1,0,0.46137764566916317,0.125,0.0,0.10364429745562034,2,0,1,0,0,1
1,1,0.4363254431421475,0.125,0.0,0.10364429745562034,2,1,0,0,0,1
1,0,0.5866386583042416,0.0,0.0,0.07514699533034619,1,0,1,0,0,1
1,1,0.4363254431421475,0.0,0.0,0.41282050681475896,1,1,0,1,0,0
1,1,0.27348612671654565,0.0,0.11111111111111109,0.11594107850967697,2,1,0,1,0,0
1,1,0.5615864557772259,0.0,0.11111111111111109,0.11594107850967697,2,1,0,1,0,0
